title,category_slug,media_url,media_type,sort_order,is_active
Acide Hyaluronique,Vitamins & Minerals,https://i.pinimg.com/originals/01/c5/e2/01c5e2330d64db1acf4cd9998d75cf0b.jpg,image,1,true
Natural Upgrade,Vitamins & Minerals,https://v1.pinimg.com/videos/mc/720p/56/98/7d/56987ddaa15b7471d4b7a6c972c45d52.mp4,video,2,true
BTTRM Wellness,Weight Loss,https://i.pinimg.com/originals/43/b7/d1/43b7d1262f082ba462adc8294fcad48a.jpg,image,3,true
Creatine Gummies,CREATINE,https://i.pinimg.com/originals/a5/83/59/a583590481eba3cf44a14d0af3208aa0.jpg,image,4,true
Inositol Slimming,Weight Loss,https://i.pinimg.com/originals/0a/a8/9a/0aa89a0781890752950c2653a38b389d.jpg,image,5,true
Chew On This,SNACKS,https://i.pinimg.com/originals/53/7e/df/537edf794fd8a17dc4e41bd872781d64.jpg,image,6,true
Cleansing Herbal Formulas,ÉNERGIE - RÉCUPÉRATION,https://i.pinimg.com/originals/20/7b/4b/207b4bc17a10a8fdb96cb654fa92392f.jpg,image,7,true
